355 0.03 0.01 -0.01 0.02 -0.07
125 0.03 -0.07 -0.04 -0.06 0.04
129 -0.03 -0.08 -0.16 -0.14 0.06
128 -0.01 -0.14 0.03 0.05 -0.04
462 0.01 0.02 0 -0.04 0.04
147 -0.05 -0.04 -0.04 -0.04 0.02
133 0.01 -0.03 0 -0.04 -0.05
136 0.05 -0.01 0.03 0.04 0.04
131 -0.03 -0.02 -0.02 -0.06 0.02
360 -0.02 -0.04 -0.02 -0.06 0.05
139 -0.01 0.02 -0.02 -0.01 0.07
122 0.05 -0.05 0.09 0.04 -0.07
143 -0.01 -0.09 0.04 0.02 -0.04
464 -0.04 0.01 -0.01 -0.03 -0.01
123 0.06 -0.04 0.02 0.01 -0.12
44 -0.02 0.01 0.02 0.07 -0.04
142 -0.03 0 -0.01 -0.04 0.04
357 -0.01 -0.02 0.04 0.06 -0.15
124 0.04 -0.02 -0.03 -0.08 0.04
4 0.05 -0.15 0.05 0.04 -0.14
138 0.04 -0.01 0.03 0.04 -0.03
137 -0.03 0.02 -0.02 -0.02 0.04
132 -0.01 -0.01 0 -0.03 0.05
356 -0.03 0.07 0.03 -0.01 -0.05
251 0.03 -0.01 0.05 0.03 -0.13
19 -0.08 -0.12 -0.11 -0.07 0.01
127 -0.03 -0.18 -0.11 -0.11 0.04
463 -0.03 0.01 0.01 -0.05 0.02
21 -0.03 0.05 -0.03 -0.02 -0.06
126 0.07 0.07 0.05 0.02 0.02
17 0 0.06 0.04 0.08 -0.04
43 0 -0.12 -0.01 -0.03 -0.09
2 0.07 -0.12 0.04 0.02 -0.06
359 0 0.03 0 -0.06 0.07
130 0 -0.12 0 0.01 -0.01
141 0 0.09 0 -0.03 0.05
149 0.07 -0.02 0 -0.04 0.09
121 0.08 0 0.02 -0.02 0.02
252 -0.02 0.05 0.03 0.01 -0.04
22 -0.01 0 -0.14 -0.11 0.08
135 -0.06 -0.01 -0.03 -0.06 0.05
253 -0.02 0.02 0.07 0.09 -0.15
354 0.06 0.07 0.04 0.01 0.04
6 -0.01 0.03 -0.06 -0.04 0.11
